Satelite,Fecha,lat,long,velViento,dirViento
1,2018026,6.76,113.54,6.42,228.8
1,2018026,6.81,113.76,6.58,227.4
1,2018026,6.86,113.98,6.65,226
1,2018026,6.92,114.2,6.81,224
1,2018026,6.97,114.42,6.67,221.6
1,2018026,7.02,114.64,6.22,221.6
1,2018026,7.07,114.86,5.92,224.3
1,2018026,7.13,115.08,5.82,223.9
1,2018026,7.18,115.3,5.94,227.1
1,2018026,7.23,115.52,6.32,236.5
1,2018026,7.28,115.74,6.23,237.6
1,2018026,7.34,115.96,5.64,231.7
1,2018026,7.39,116.18,5.15,230.7
1,2018026,7.44,116.4,5.11,237.4
1,2018026,7.49,116.62,5.49,238.5
1,2018026,7.55,116.84,0,0
1,2018026,7.6,117.07,0,0
1,2018026,7.65,117.29,0,0
1,2018026,7.7,117.51,5.45,234.3
1,2018026,7.75,117.73,5.38,225
1,2018026,7.8,117.95,5.19,209.7
1,2018026,9.28,124.54,0,0
1,2018026,9.32,124.76,0,0
1,2018026,9.37,124.99,0,0
1,2018026,9.42,125.21,0,0
1,2018026,9.47,125.43,0,0
1,2018026,9.51,125.65,0,0
1,2018026,9.56,125.88,0,0
1,2018026,9.61,126.1,0,0
1,2018026,9.65,126.32,0,0
1,2018026,9.7,126.55,4.56,254.5
1,2018026,9.74,126.77,4.76,246.6
1,2018026,9.79,126.99,5.03,244.4
1,2018026,9.84,127.22,5.01,246.6
1,2018026,9.88,127.44,5.06,247.1
1,2018026,9.93,127.66,5.16,245.8
1,2018026,9.97,127.89,5.36,244.8
1,2018026,10.02,128.11,5.67,246
1,2018026,10.06,128.33,5.9,246.5
1,2018026,10.11,128.56,6.11,245.8
1,2018026,10.15,128.78,6.37,245.8
1,2018026,10.2,129,6.39,245
1,2018026,6.97,113.49,6.58,225.8
1,2018026,7.03,113.71,6.69,224.2
1,2018026,7.08,113.93,6.84,223
1,2018026,7.13,114.15,6.91,222.1
1,2018026,7.19,114.37,6.73,220.7
1,2018026,7.24,114.59,6.37,220.8
1,2018028,7.19,114.61,6.12,226.7
1,2018028,7.24,117.82,5.32,210.8
